transaction_id,customer_id,transaction_datetime,transaction_type,merchant_category,amount,is_fraud
TX1000054,SA012077,2023-12-07 08:50:14,EFT Payment,Online Shopping,40.05,0
TX1000055,SA012056,2023-11-30 18:42:17,Withdrawal,Insurance,87.9,0
TX1000056,SA013171,2023-05-06 03:12:57,Debit Order,Medical,825.44,0
TX1000057,SA013148,2023-10-01 12:12:36,Deposit,Government Services,1025.76,0
TX1000058,SA011599,2023-08-06 16:29:21,ATM Withdrawal,Insurance,103.25,0
TX1000059,SA013431,2023-06-13 03:53:52,Withdrawal,Restaurants,387.55,0
TX1000060,SA011411,2023-08-04 19:18:41,Deposit,Medical,1132.12,0
TX1000061,SA010344,2023-11-26 02:09:30,Transfer,Medical,58.3,0
TX1000062,SA010919,2023-12-07 19:59:55,Online Purchase,Education,278.53,0
TX1000063,SA010243,2023-07-30 04:32:35,Online Purchase,Telecommunication,985.67,0
TX1000064,SA011999,2023-12-30 17:04:28,EFT Payment,Education,357.44,0
TX1000065,SA012491,2023-11-12 19:34:44,Debit Order,Financial Services,125.58,0
TX1000066,SA011479,2023-12-19 14:22:28,Online Purchase,Government Services,205.95,0
TX1000067,SA013800,2023-04-17 17:48:12,Transfer,Restaurants,195.19,0
TX1000068,SA014318,2023-10-26 23:24:28,Card Payment,Telecommunication,607.04,0
TX1000069,SA013636,2023-11-20 04:24:20,ATM Withdrawal,Accommodation,1783.9,0
TX1000070,SA011640,2023-03-10 14:10:55,Deposit,Fuel Stations,145.03,0
TX1000071,SA012366,2023-10-30 10:04:51,ATM Withdrawal,Education,178.97,0
TX1000072,SA012920,2023-11-30 19:04:20,Withdrawal,Transportation,18.79,0
TX1000073,SA014437,2023-10-07 23:09:28,Card Payment,Travel,349.26,0
TX1000074,SA012777,2023-12-26 01:11:07,EFT Payment,Utilities,163.31,0
TX1000075,SA011101,2023-05-30 02:39:38,Transfer,Travel,136.93,0
TX1000076,SA013625,2023-12-16 04:09:16,Transfer,Accommodation,336.14,0
TX1000077,SA011164,2023-01-01 06:18:16,Transfer,Home & Garden,138.57,0
TX1000078,SA010466,2023-09-21 14:07:11,Transfer,Travel,716.94,0
TX1000079,SA010251,2023-12-06 05:49:21,Card Payment,Grocery Stores,651.37,0
TX1000080,SA010030,2023-11-19 15:09:14,Transfer,Medical,500.25,0
TX1000081,SA014478,2023-10-01 20:17:17,EFT Payment,Entertainment,383.69,0
TX1000082,SA010493,2023-12-22 10:06:12,Online Purchase,Medical,901.82,0
TX1000083,SA014456,2023-11-26 17:28:03,Debit Order,Insurance,103.22,0
TX1000084,SA012088,2023-12-27 16:00:02,Debit Order,Government Services,446.89,0
TX1000085,SA011472,2023-09-20 10:48:09,EFT Payment,Medical,8.36,0
TX1000086,SA011882,2023-10-27 01:36:44,Transfer,Telecommunication,128.41,0
TX1000087,SA011613,2023-09-28 23:08:56,Withdrawal,Education,95.8,0
TX1000088,SA011689,2023-09-16 21:10:33,Transfer,Telecommunication,244.48,0
TX1000089,SA011994,2023-04-26 04:50:03,Withdrawal,Accommodation,73.97,0
TX1000090,SA013402,2023-11-23 22:06:48,ATM Withdrawal,Utilities,60.22,0
TX1000091,SA012348,2023-05-12 11:24:03,Deposit,Government Services,1049.17,0
TX1000092,SA014270,2023-12-04 14:08:41,Withdrawal,Restaurants,539.38,0
TX1000093,SA011830,2023-07-31 20:50:49,EFT Payment,Transportation,405.07,0
TX1000094,SA010503,2023-10-24 09:03:11,Transfer,Transportation,138.44,0
TX1000095,SA011613,2023-12-22 00:43:54,Deposit,Travel,1137.56,0
TX1000096,SA014205,2023-06-06 21:10:50,Debit Order,Education,501.33,0
TX1000097,SA011854,2023-11-23 12:41:14,Withdrawal,Education,214.78,0
TX1000098,SA013788,2023-09-05 20:57:15,Online Purchase,Fuel Stations,1137.05,0
TX1000099,SA011823,2023-06-17 17:45:34,Debit Order,Government Services,756.78,0
TX1000100,SA013616,2023-09-29 04:41:26,Deposit,Telecommunication,43.95,0
TX1000101,SA011759,2023-12-15 06:52:24,Deposit,Financial Services,1144.12,0
TX1000102,SA011588,2023-10-08 11:36:36,Deposit,Hardware & Construction,4.62,0
TX1000103,SA010117,2023-12-21 04:14:47,Withdrawal,Government Services,544.58,0
TX1000104,SA012708,2023-12-30 01:56:33,Withdrawal,Grocery Stores,87.66,0
TX1000105,SA012626,2023-10-20 07:21:08,Withdrawal,Financial Services,588.66,0
TX1000106,SA011454,2023-09-27 04:36:26,Debit Order,Online Shopping,126.97,0
TX1000107,SA011291,2023-09-09 03:50:07,ATM Withdrawal,Medical,135.41,0
TX1000108,SA012223,2023-11-25 15:05:12,Card Payment,Entertainment,686.18,0
TX1000109,SA010694,2023-09-27 16:06:10,Withdrawal,Hardware & Construction,945.98,0
TX1000110,SA013290,2023-09-25 01:24:11,Debit Order,Telecommunication,420.02,0
TX1000111,SA013416,2023-12-22 23:04:54,Card Payment,Accommodation,229.21,0
TX1000112,SA010784,2023-12-03 16:17:32,Online Purchase,Accommodation,139.85,0
TX1000113,SA013111,2023-02-08 15:53:30,Online Purchase,Restaurants,249.69,0
TX1000114,SA010609,2023-06-13 00:55:37,Deposit,Electronics,498.67,0
TX1000115,SA011986,2023-08-10 06:41:47,Transfer,Grocery Stores,349.22,0
TX1000116,SA013711,2023-10-14 20:25:11,Debit Order,Transportation,339.15,0
TX1000117,SA013162,2023-12-11 19:23:27,Transfer,Gaming & Betting,640.88,0
TX1000118,SA012634,2023-12-01 18:42:44,Withdrawal,Hardware & Construction,12.31,0
TX1000119,SA010567,2023-09-28 11:34:41,Transfer,Grocery Stores,97.47,0
TX1000120,SA010752,2023-04-21 00:57:00,Card Payment,Financial Services,1538.78,0
TX1000121,SA013538,2023-05-23 14:50:20,Deposit,Gaming & Betting,231.14,0
TX1000122,SA011481,2023-12-29 15:14:14,Online Purchase,Government Services,1317.76,0
TX1000123,SA014877,2023-11-10 19:49:50,Online Purchase,Home & Garden,1700.42,0
TX1000124,SA011673,2023-03-07 02:45:22,Card Payment,Hardware & Construction,958.69,0
TX1000125,SA012332,2023-11-29 20:33:21,ATM Withdrawal,Accommodation,243.15,0
TX1000126,SA012782,2023-07-12 17:56:30,Card Payment,Utilities,190.57,0
TX1000127,SA012418,2023-12-14 09:14:14,Online Purchase,Online Shopping,406.87,0
TX1000128,SA011554,2023-04-27 08:48:06,EFT Payment,Online Shopping,595.41,0
TX1000129,SA014862,2023-10-16 06:36:39,Withdrawal,Restaurants,51.11,0
TX1000130,SA014688,2023-10-06 22:26:46,ATM Withdrawal,Utilities,2305.28,0
TX1000131,SA010790,2023-12-17 07:31:23,ATM Withdrawal,Medical,365.25,0
TX1000132,SA014100,2023-06-25 17:28:47,Transfer,Fuel Stations,675.02,0
TX1000133,SA013089,2023-09-14 15:38:56,Online Purchase,Utilities,606.14,0
TX1000134,SA012305,2023-11-20 04:32:49,Withdrawal,Accommodation,173.78,0
TX1000135,SA011418,2023-08-03 12:43:37,Debit Order,Medical,830.66,0
TX1000136,SA014759,2023-07-02 00:03:04,Deposit,Travel,1222.31,0
TX1000137,SA014295,2023-10-27 00:06:11,Withdrawal,Electronics,348.09,0
TX1000138,SA011105,2023-08-08 08:40:59,EFT Payment,Hardware & Construction,524.86,0
TX1000139,SA011632,2023-09-13 01:10:36,Online Purchase,Travel,794.31,0
TX1000140,SA014686,2023-06-15 18:21:37,Transfer,Transportation,206.24,0
TX1000141,SA010382,2023-11-18 06:14:51,Transfer,Restaurants,49.35,0
TX1000142,SA011909,2023-10-14 04:33:13,Deposit,Financial Services,18.3,0
TX1000143,SA014355,2023-11-04 08:52:02,Deposit,Insurance,391.15,0
TX1000144,SA010749,2023-11-30 10:24:13,Card Payment,Education,446.82,0
TX1000145,SA011017,2023-12-28 07:00:14,EFT Payment,Electronics,19.03,0
TX1000146,SA011136,2023-07-28 23:02:44,Withdrawal,Telecommunication,223.29,0
TX1000147,SA011541,2023-12-18 20:03:13,EFT Payment,Online Shopping,369.33,0
TX1000148,SA011390,2023-08-20 17:36:36,Debit Order,Clothing Retail,121.56,0
TX1000149,SA014532,2023-10-04 21:47:10,EFT Payment,Travel,44.61,0
TX1000150,SA011031,2023-12-26 11:59:55,ATM Withdrawal,Insurance,378.95,0
TX1000151,SA010124,2023-10-21 22:36:18,EFT Payment,Financial Services,507.27,0
TX1000152,SA012407,2023-09-05 11:23:26,Deposit,Telecommunication,1861.78,0
TX1000153,SA011596,2023-10-26 12:54:22,EFT Payment,Insurance,195.01,0
TX1000154,SA012008,2023-08-10 03:40:21,Online Purchase,Medical,157.93,0
TX1000155,SA012013,2023-11-08 09:29:37,Online Purchase,Education,40.85,0
TX1000156,SA013432,2023-12-28 09:40:15,Transfer,Transportation,1643.69,0
TX1000157,SA011263,2023-07-21 18:39:38,ATM Withdrawal,Fuel Stations,595.32,0
TX1000158,SA012275,2023-11-13 07:11:03,ATM Withdrawal,Clothing Retail,95.15,0
TX1000159,SA010741,2023-12-15 04:07:50,Online Purchase,Grocery Stores,144.0,0
TX1000160,SA012217,2023-10-20 06:30:36,ATM Withdrawal,Education,626.92,0
TX1000161,SA010210,2023-09-24 17:18:12,Card Payment,Government Services,164.21,0
TX1000162,SA011077,2023-03-27 08:06:41,Online Purchase,Medical,669.51,0
TX1000163,SA014817,2023-10-19 01:39:53,Online Purchase,Gaming & Betting,473.02,0
TX1000164,SA011332,2023-11-12 15:26:38,Withdrawal,Transportation,142.33,0
TX1000165,SA010914,2023-11-21 21:26:18,Transfer,Fuel Stations,709.09,0
TX1000166,SA013978,2023-12-29 08:14:29,Debit Order,Restaurants,61.69,0
TX1000167,SA013770,2023-12-26 15:31:32,EFT Payment,Online Shopping,20.79,0
TX1000168,SA012995,2023-07-09 03:02:44,Withdrawal,Financial Services,608.12,0
TX1000169,SA012781,2023-11-03 20:32:34,Online Purchase,Gaming & Betting,51.48,0
TX1000170,SA013643,2023-10-31 02:04:36,ATM Withdrawal,Transportation,320.73,0
TX1000171,SA014029,2023-12-13 14:21:53,Card Payment,Restaurants,284.45,0
TX1000172,SA013136,2023-11-15 04:42:59,Online Purchase,Home & Garden,478.36,0
TX1000173,SA013935,2023-10-01 01:27:47,ATM Withdrawal,Electronics,23.18,0
TX1000174,SA014881,2023-11-18 23:23:22,Withdrawal,Insurance,491.56,0
TX1000175,SA012340,2023-10-29 01:15:50,Transfer,Gaming & Betting,970.67,0
TX1000176,SA011220,2023-09-25 13:09:18,Online Purchase,Insurance,88.93,0
TX1000177,SA011973,2023-12-24 13:26:51,ATM Withdrawal,Gaming & Betting,514.2,0
TX1000178,SA010064,2023-12-28 05:35:39,EFT Payment,Financial Services,440.67,0
TX1000179,SA010825,2023-04-21 22:18:51,Debit Order,Insurance,428.39,0
TX1000180,SA012233,2023-11-16 11:54:04,Withdrawal,Transportation,515.41,0
TX1000181,SA012605,2023-11-05 18:23:32,Card Payment,Electronics,394.41,0
TX1000182,SA014321,2023-04-19 04:05:22,Online Purchase,Grocery Stores,243.96,0
TX1000183,SA014852,2023-03-13 11:40:26,EFT Payment,Hardware & Construction,1178.79,0
TX1000184,SA014969,2023-12-11 11:25:28,Transfer,Telecommunication,35.94,0
TX1000185,SA010027,2023-12-21 16:20:20,EFT Payment,Medical,9.19,0
TX1000186,SA011804,2023-12-22 23:26:49,EFT Payment,Entertainment,574.44,0
TX1000187,SA014777,2023-12-24 07:30:19,Online Purchase,Electronics,192.08,0
TX1000188,SA010100,2023-07-16 22:35:32,Online Purchase,Financial Services,11.77,0
TX1000189,SA014431,2023-08-01 17:49:13,EFT Payment,Electronics,165.54,0
TX1000190,SA010804,2023-12-19 13:37:31,Withdrawal,Education,596.58,0
TX1000191,SA013584,2023-10-02 22:54:25,Transfer,Gaming & Betting,1049.71,0
TX1000192,SA014834,2023-09-02 09:35:01,ATM Withdrawal,Travel,813.5,0
TX1000193,SA011770,2023-12-01 10:46:56,Withdrawal,Accommodation,97.67,0
TX1000194,SA013447,2023-08-28 04:45:25,EFT Payment,Government Services,822.1,0
TX1000195,SA014012,2023-01-01 17:35:03,Card Payment,Financial Services,266.04,0
TX1000196,SA013731,2023-11-19 12:26:06,Online Purchase,Government Services,748.98,0
TX1000197,SA011425,2023-11-23 01:40:40,Deposit,Utilities,1335.07,0
TX1000198,SA010916,2023-07-08 19:15:38,Deposit,Utilities,280.18,0
TX1000199,SA010745,2023-08-27 08:20:02,Withdrawal,Financial Services,702.32,0
TX1000200,SA011109,2023-12-21 09:58:19,EFT Payment,Grocery Stores,1164.22,0
TX1000201,SA010219,2023-10-28 19:02:14,Online Purchase,Online Shopping,875.67,0
TX1000202,SA011064,2023-11-26 09:29:10,EFT Payment,Online Shopping,1129.4,0
TX1000203,SA012486,2023-11-16 07:03:22,ATM Withdrawal,Electronics,5.45,0
TX1000204,SA013417,2023-06-01 21:42:52,Deposit,Insurance,47.86,0
TX1000205,SA014409,2023-11-26 01:35:09,Card Payment,Fuel Stations,1498.49,0
TX1000206,SA010237,2023-04-04 12:29:36,Transfer,Accommodation,426.0,0
TX1000207,SA012336,2023-10-02 12:12:37,Debit Order,Insurance,297.51,0
TX1000208,SA012797,2023-11-29 12:16:52,Transfer,Online Shopping,199.24,0
TX1000209,SA013204,2023-09-21 00:54:42,Withdrawal,Government Services,697.92,0
TX1000210,SA013039,2023-08-11 19:29:44,Deposit,Clothing Retail,779.42,0
TX1000211,SA010754,2023-12-22 18:00:32,Deposit,Entertainment,341.02,0
TX1000212,SA013745,2023-12-25 19:46:58,EFT Payment,Electronics,398.73,0
TX1000213,SA010357,2023-11-08 11:05:23,EFT Payment,Accommodation,1093.31,0
TX1000214,SA014282,2023-11-22 16:08:57,Debit Order,Accommodation,62.25,0
TX1000215,SA010564,2023-12-17 05:49:47,Deposit,Utilities,716.72,0
TX1000216,SA011341,2023-10-05 10:51:48,Withdrawal,Restaurants,53.3,0
TX1000217,SA012264,2023-12-23 03:27:32,Debit Order,Fuel Stations,603.6,0
TX1000218,SA013303,2023-12-24 11:57:28,Card Payment,Clothing Retail,862.59,0
TX1000219,SA011880,2023-09-11 05:34:21,Withdrawal,Insurance,42.42,0
TX1000220,SA013070,2023-12-23 04:36:29,EFT Payment,Online Shopping,2157.73,0
TX1000221,SA014262,2023-11-18 12:26:30,Online Purchase,Clothing Retail,231.53,0
TX1000222,SA014943,2023-08-02 01:11:12,Card Payment,Hardware & Construction,1471.08,0
TX1000223,SA014523,2023-01-01 22:28:33,Deposit,Gaming & Betting,699.95,0
TX1000224,SA014653,2023-11-18 14:01:31,EFT Payment,Transportation,43.6,0
TX1000225,SA010441,2023-08-17 10:57:59,Transfer,Electronics,408.68,0
TX1000226,SA010731,2023-11-11 23:31:29,Debit Order,Fuel Stations,1184.12,0
TX1000227,SA014417,2023-12-20 12:14:52,Transfer,Transportation,339.25,0
TX1000228,SA013261,2023-12-29 18:50:52,EFT Payment,Telecommunication,316.18,0
TX1000229,SA011016,2023-12-25 03:10:18,Deposit,Home & Garden,63.25,0
TX1000230,SA014446,2023-12-19 23:54:24,Deposit,Entertainment,523.78,0
TX1000231,SA012011,2023-08-29 12:26:33,Debit Order,Transportation,437.78,0
TX1000232,SA010954,2023-03-11 03:33:23,Card Payment,Insurance,234.9,0
TX1000233,SA013471,2023-11-30 08:08:14,Withdrawal,Hardware & Construction,1014.75,0
TX1000234,SA012104,2023-12-08 05:44:49,Withdrawal,Home & Garden,1651.44,0
TX1000235,SA013571,2023-12-29 07:49:19,ATM Withdrawal,Restaurants,1751.26,0
TX1000236,SA010079,2023-12-27 21:42:34,Online Purchase,Insurance,1108.86,0
TX1000237,SA014639,2023-10-24 16:25:01,Online Purchase,Gaming & Betting,2478.41,0
TX1000238,SA013412,2023-12-24 07:34:51,Withdrawal,Utilities,403.55,0
TX1000239,SA012624,2023-02-20 15:45:49,Transfer,Hardware & Construction,370.22,0
TX1000240,SA012205,2023-10-02 16:15:30,Debit Order,Restaurants,594.95,0
TX1000241,SA013257,2023-11-06 01:25:45,Withdrawal,Medical,493.84,0
TX1000242,SA010379,2023-10-12 21:13:55,Debit Order,Restaurants,1157.12,0
TX1000243,SA014810,2023-12-26 21:22:28,Card Payment,Fuel Stations,164.92,0
TX1000244,SA010007,2023-04-04 19:30:18,ATM Withdrawal,Education,1104.84,0
TX1000245,SA011087,2023-11-06 08:33:14,EFT Payment,Gaming & Betting,483.97,0
TX1000246,SA011573,2023-12-01 21:05:05,EFT Payment,Education,104.2,0
TX1000247,SA010136,2023-11-04 12:19:20,Card Payment,Telecommunication,217.98,0
TX1000248,SA012453,2023-10-13 22:55:53,Debit Order,Financial Services,40.46,0
TX1000249,SA014818,2023-02-04 04:17:00,Withdrawal,Travel,2141.93,0
TX1000250,SA014235,2023-09-14 22:21:38,ATM Withdrawal,Entertainment,384.04,0
TX1000251,SA013442,2023-11-27 16:57:57,EFT Payment,Accommodation,840.45,0
TX1000252,SA010105,2023-09-18 22:32:47,Debit Order,Online Shopping,88.74,0
TX1000253,SA011263,2023-05-27 17:59:10,EFT Payment,Accommodation,864.5,0
TX1000254,SA013938,2023-04-05 09:40:50,Card Payment,Online Shopping,646.8,0
TX1000255,SA011835,2023-10-06 13:55:10,Transfer,Insurance,270.85,0
TX1000256,SA014883,2023-05-02 19:21:41,Debit Order,Restaurants,1005.2,0
TX1000257,SA010789,2023-12-26 08:45:57,Deposit,Hardware & Construction,13.36,0
TX1000258,SA012234,2023-11-18 01:00:48,Deposit,Hardware & Construction,831.82,0
TX1000259,SA012332,2023-01-01 14:44:59,Withdrawal,Electronics,81.5,0
TX1000260,SA014999,2023-10-10 02:09:02,Withdrawal,Restaurants,239.74,0
TX1000261,SA010883,2023-02-18 13:43:58,Transfer,Accommodation,922.96,0
TX1000262,SA011531,2023-07-20 22:03:47,Debit Order,Education,316.21,0
TX1000263,SA013204,2023-11-12 08:07:55,Deposit,Travel,159.69,0
TX1000264,SA014767,2023-12-25 20:52:43,Online Purchase,Grocery Stores,1000.21,0
TX1000265,SA013920,2023-08-02 23:54:51,Deposit,Medical,4086.22,0
TX1000266,SA011156,2023-01-01 05:06:00,Debit Order,Financial Services,405.33,0
TX1000267,SA010544,2023-08-21 21:10:06,Online Purchase,Education,1448.09,0
TX1000268,SA011361,2023-07-13 11:55:16,Online Purchase,Fuel Stations,142.08,0
TX1000269,SA013608,2023-11-07 17:34:13,Debit Order,Home & Garden,69.15,0
TX1000270,SA014851,2023-03-28 09:17:29,Transfer,Education,465.92,0
TX1000271,SA010806,2023-12-07 04:44:07,Transfer,Grocery Stores,556.91,0
TX1000272,SA014508,2023-10-05 13:40:50,Debit Order,Insurance,221.71,0
TX1000273,SA010044,2023-12-20 18:36:00,Online Purchase,Fuel Stations,556.72,0
TX1000274,SA010854,2023-10-25 19:19:13,Deposit,Education,739.9,0
TX1000275,SA014445,2023-10-25 09:28:05,ATM Withdrawal,Telecommunication,955.89,0
TX1000276,SA012272,2023-10-19 08:07:20,Withdrawal,Travel,411.56,0
TX1000277,SA013181,2023-06-25 03:51:44,Transfer,Medical,258.32,0
TX1000278,SA010271,2023-12-18 06:27:59,Deposit,Clothing Retail,14.6,0
TX1000279,SA011528,2023-08-26 15:41:54,Transfer,Government Services,484.2,0
TX1000280,SA010044,2023-09-12 19:59:06,Online Purchase,Financial Services,119.74,0
TX1000281,SA010370,2023-12-17 05:58:59,EFT Payment,Grocery Stores,7.33,0
TX1000282,SA011074,2023-11-22 22:25:15,Debit Order,Financial Services,445.7,0
TX1000283,SA014496,2023-11-16 17:29:37,Debit Order,Insurance,287.66,0
TX1000284,SA011298,2023-06-02 18:37:06,Deposit,Fuel Stations,214.05,0
TX1000285,SA013288,2023-10-27 04:50:38,Withdrawal,Financial Services,765.44,0
TX1000286,SA014916,2023-11-15 13:30:57,Deposit,Gaming & Betting,486.55,0
TX1000287,SA011590,2023-07-05 04:14:34,Online Purchase,Gaming & Betting,1493.1,0
TX1000288,SA011087,2023-12-16 11:00:35,Card Payment,Medical,1305.83,0
TX1000289,SA010269,2023-10-31 01:05:54,Online Purchase,Fuel Stations,149.37,0
TX1000290,SA012536,2023-11-05 14:25:18,Deposit,Grocery Stores,1956.83,0
TX1000291,SA012040,2023-10-30 20:35:05,ATM Withdrawal,Fuel Stations,199.31,0
TX1000292,SA013078,2023-10-01 00:12:09,ATM Withdrawal,Restaurants,137.31,0
TX1000293,SA011533,2023-12-23 08:16:12,Card Payment,Government Services,68.99,0
TX1000294,SA012525,2023-12-18 18:59:22,ATM Withdrawal,Accommodation,82.38,0
TX1000295,SA014219,2023-12-17 18:27:59,Transfer,Transportation,512.04,0
TX1000296,SA012082,2023-12-12 15:02:28,Transfer,Medical,212.07,0
TX1000297,SA013547,2023-06-09 05:21:39,Online Purchase,Electronics,321.19,0
TX1000298,SA014239,2023-09-22 18:27:33,ATM Withdrawal,Online Shopping,94.56,0
TX1000299,SA010484,2023-12-11 10:53:42,Debit Order,Grocery Stores,20.86,0
TX1000300,SA013099,2023-12-14 15:08:32,Transfer,Travel,163.27,0
TX1000301,SA013183,2023-12-13 00:33:15,Debit Order,Utilities,46.44,0
TX1000302,SA011728,2023-12-19 18:05:38,ATM Withdrawal,Online Shopping,308.81,0
TX1000303,SA013933,2023-12-10 22:30:49,Deposit,Online Shopping,226.49,0
TX1000304,SA014554,2023-10-28 15:16:58,Transfer,Gaming & Betting,586.23,0
TX1000305,SA011526,2023-12-27 07:49:06,Card Payment,Restaurants,803.25,0
TX1000306,SA014784,2023-10-03 14:56:36,Withdrawal,Online Shopping,42.65,0
TX1000307,SA011969,2023-06-27 01:27:40,Debit Order,Education,1268.35,0
TX1000308,SA011576,2023-12-25 06:22:06,Online Purchase,Medical,162.09,0
TX1000309,SA014780,2023-08-05 12:44:18,ATM Withdrawal,Gaming & Betting,689.68,0
TX1000310,SA012533,2023-12-12 20:27:31,Withdrawal,Home & Garden,117.45,0
TX1000311,SA012334,2023-11-19 14:56:06,EFT Payment,Travel,331.33,0
TX1000312,SA014997,2023-10-05 11:05:42,ATM Withdrawal,Clothing Retail,230.16,0
TX1000313,SA014010,2023-11-05 05:17:49,Deposit,Insurance,688.11,0
TX1000314,SA012001,2023-12-27 18:16:29,Online Purchase,Online Shopping,145.47,0
TX1000315,SA011584,2023-09-09 02:14:14,Card Payment,Hardware & Construction,1127.88,0
TX1000316,SA011770,2023-10-27 09:41:20,ATM Withdrawal,Medical,379.76,0
TX1000317,SA014361,2023-12-20 23:58:24,Online Purchase,Restaurants,296.57,0
TX1000318,SA010766,2023-10-23 10:12:37,Debit Order,Transportation,138.85,0
TX1000319,SA010117,2023-12-02 06:13:16,Withdrawal,Hardware & Construction,236.83,0
TX1000320,SA013166,2023-12-29 05:37:03,Online Purchase,Fuel Stations,194.36,0
TX1000321,SA014948,2023-12-09 10:54:02,Withdrawal,Entertainment,198.37,0
TX1000322,SA011142,2023-12-19 15:20:23,Transfer,Hardware & Construction,1106.04,0
TX1000323,SA012137,2023-10-10 01:49:53,Debit Order,Transportation,568.32,0
TX1000324,SA010672,2023-08-12 23:47:54,Card Payment,Financial Services,345.02,0
TX1000325,SA012035,2023-12-22 05:16:38,Card Payment,Gaming & Betting,385.13,0
